name,type,value,date
皇家社会,Real Sociedad,11,8
塞尔塔,Celta Vigo,10,8
莱万特,Levante,10,8
埃瓦尔,Eibar,10,8
赫塔菲,Getafe,9,8
巴伦西亚,Valencia?,9,8
赫罗纳,Girona,9,8
比利亚雷亚尔,Villarreal,8,8
毕尔巴鄂竞技,Athletic Bilbao,8,8
莱加内斯,Leganes,7,8
巴列卡诺,Rayo Vallecano,6,8
韦斯卡,SD Huesca,5,8
巴塞罗那,FC Barcelona,18,9
西班牙人,RCD Espanyol,17,9
阿拉维斯,Alves Sales,17,9
塞维利亚,Sevilla,16,9
马德里竞技,Atletico Madrid,16,9
瓦拉多利德,Real Valladolid,15,9
皇家马德里,Real Madrid,14,9
莱万特,Levante,13,9
皇家社会,Real Sociedad,12,9
赫塔菲,Getafe,12,9
皇家贝蒂斯,Real Betis,12,9
埃瓦尔,Eibar,11,9
塞尔塔,Celta Vigo,10,9
巴伦西亚,Valencia?,10,9
赫罗纳,Girona,10,9
比利亚雷亚尔,Villarreal,9,9
毕尔巴鄂竞技,Athletic Bilbao,9,9
莱加内斯,Leganes,8,9
巴列卡诺,Rayo Vallecano,6,9
韦斯卡,SD Huesca,5,9
巴塞罗那,FC Barcelona,21,10
阿拉维斯,Alves Sales,20,10
塞维利亚,Sevilla,19,10
马德里竞技,Atletico Madrid,19,10
西班牙人,RCD Espanyol,18,10
瓦拉多利德,Real Valladolid,16,10
莱万特,Levante,16,10
赫塔菲,Getafe,15,10
皇家马德里,Real Madrid,14,10
塞尔塔,Celta Vigo,13,10
赫罗纳,Girona,13,10
皇家社会,Real Sociedad,12,10
皇家贝蒂斯,Real Betis,12,10
巴伦西亚,Valencia?,11,10
埃瓦尔,Eibar,11,10
毕尔巴鄂竞技,Athletic Bilbao,10,10
比利亚雷亚尔,Villarreal,9,10
莱加内斯,Leganes,8,10
巴列卡诺,Rayo Vallecano,6,10
韦斯卡,SD Huesca,5,10
巴塞罗那,FC Barcelona,24,11
西班牙人,RCD Espanyol,21,11
塞维利亚,Sevilla,20,11
马德里竞技,Atletico Madrid,20,11
阿拉维斯,Alves Sales,20,11
皇家马德里,Real Madrid,17,11
莱万特,Levante,17,11
赫塔菲,Getafe,16,11
瓦拉多利德,Real Valladolid,16,11
赫罗纳,Girona,16,11
塞尔塔,Celta Vigo,14,11
埃瓦尔,Eibar,14,11
皇家社会,Real Sociedad,13,11
皇家贝蒂斯,Real Betis,13,11
巴伦西亚,Valencia?,11,11
比利亚雷亚尔,Villarreal,10,11
毕尔巴鄂竞技,Athletic Bilbao,10,11
莱加内斯,Leganes,9,11
巴列卡诺,Rayo Vallecano,6,11
韦斯卡,SD Huesca,6,11
巴塞罗那,FC Barcelona,24,12
塞维利亚,Sevilla,23,12
马德里竞技,Atletico Madrid,23,12
阿拉维斯,Alves Sales,23,12
西班牙人,RCD Espanyol,21,12
皇家马德里,Real Madrid,20,12
瓦拉多利德,Real Valladolid,17,12
莱万特,Levante,17,12
赫罗纳,Girona,17,12
皇家社会,Real Sociedad,16,12
赫塔菲,Getafe,16,12
皇家贝蒂斯,Real Betis,16,12
埃瓦尔,Eibar,15,12
塞尔塔,Celta Vigo,14,12
巴伦西亚,Valencia?,14,12
比利亚雷亚尔,Villarreal,11,12
毕尔巴鄂竞技,Athletic Bilbao,10,12
莱加内斯,Leganes,10,12
巴列卡诺,Rayo Vallecano,7,12
韦斯卡,SD Huesca,6,12
塞维利亚,Sevilla,26,13
巴塞罗那,FC Barcelona,25,13
马德里竞技,Atletico Madrid,24,13
阿拉维斯,Alves Sales,23,13
西班牙人,RCD Espanyol,21,13
皇家马德里,Real Madrid,20,13
赫罗纳,Girona,20,13
皇家社会,Real Sociedad,19,13
莱万特,Levante,18,13
埃瓦尔,Eibar,18,13
巴伦西亚,Valencia?,17,13
赫塔菲,Getafe,17,13
瓦拉多利德,Real Valladolid,17,13
皇家贝蒂斯,Real Betis,16,13
塞尔塔,Celta Vigo,14,13
比利亚雷亚尔,Villarreal,14,13
莱加内斯,Leganes,13,13
毕尔巴鄂竞技,Athletic Bilbao,11,13
巴列卡诺,Rayo Vallecano,7,13
韦斯卡,SD Huesca,7,13
巴塞罗那,FC Barcelona,28,14
塞维利亚,Sevilla,27,14
马德里竞技,Atletico Madrid,25,14
阿拉维斯,Alves Sales,24,14
皇家马德里,Real Madrid,23,14
莱万特,Levante,21,14
赫罗纳,Girona,21,14
西班牙人,RCD Espanyol,21,14
赫塔菲,Getafe,20,14
皇家社会,Real Sociedad,19,14
皇家贝蒂斯,Real Betis,19,14
埃瓦尔,Eibar,18,14
塞尔塔,Celta Vigo,17,14
巴伦西亚,Valencia?,17,14
瓦拉多利德,Real Valladolid,17,14
莱加内斯,Leganes,16,14
比利亚雷亚尔,Villarreal,14,14
毕尔巴鄂竞技,Athletic Bilbao,11,14
巴列卡诺,Rayo Vallecano,10,14
韦斯卡,SD Huesca,7,14
巴塞罗那,FC Barcelona,31,15
塞维利亚,Sevilla,28,15
马德里竞技,Atletico Madrid,28,15
皇家马德里,Real Madrid,26,15
阿拉维斯,Alves Sales,24,15
莱万特,Levante,22,15
皇家贝蒂斯,Real Betis,22,15
赫塔菲,Getafe,21,15
赫罗纳,Girona,21,15
西班牙人,RCD Espanyol,21,15
塞尔塔,Celta Vigo,20,15
瓦拉多利德,Real Valladolid,20,15
皇家社会,Real Sociedad,19,15
埃瓦尔,Eibar,19,15
巴伦西亚,Valencia?,18,15
莱加内斯,Leganes,17,15
比利亚雷亚尔,Villarreal,14,15
毕尔巴鄂竞技,Athletic Bilbao,14,15
巴列卡诺,Rayo Vallecano,10,15
韦斯卡,SD Huesca,7,15
巴塞罗那,FC Barcelona,34,16
塞维利亚,Sevilla,31,16
马德里竞技,Atletico Madrid,31,16
皇家马德里,Real Madrid,29,16
皇家贝蒂斯,Real Betis,25,16
阿拉维斯,Alves Sales,25,16
赫塔菲,Getafe,24,16
莱万特,Levante,22,16
塞尔塔,Celta Vigo,21,16
赫罗纳,Girona,21,16
西班牙人,RCD Espanyol,21,16
瓦拉多利德,Real Valladolid,20,16
埃瓦尔,Eibar,20,16
巴伦西亚,Valencia?,19,16
皇家社会,Real Sociedad,19,16
莱加内斯,Leganes,18,16
比利亚雷亚尔,Villarreal,15,16
毕尔巴鄂竞技,Athletic Bilbao,15,16
巴列卡诺,Rayo Vallecano,10,16
韦斯卡,SD Huesca,8,16
巴塞罗那,FC Barcelona,37,17
马德里竞技,Atletico Madrid,34,17
塞维利亚,Sevilla,32,17
皇家马德里,Real Madrid,30,17
阿拉维斯,Alves Sales,28,17
皇家贝蒂斯,Real Betis,26,17
赫塔菲,Getafe,25,17
巴伦西亚,Valencia?,22,17
赫罗纳,Girona,22,17
莱万特,Levante,22,17
塞尔塔,Celta Vigo,21,17
瓦拉多利德,Real Valladolid,21,17
埃瓦尔,Eibar,21,17
西班牙人,RCD Espanyol,21,17
皇家社会,Real Sociedad,19,17
莱加内斯,Leganes,19,17
比利亚雷亚尔,Villarreal,16,17
毕尔巴鄂竞技,Athletic Bilbao,16,17
巴列卡诺,Rayo Vallecano,13,17
韦斯卡,SD Huesca,8,17
巴塞罗那,FC Barcelona,40,18
马德里竞技,Atletico Madrid,35,18
塞维利亚,Sevilla,33,18
阿拉维斯,Alves Sales,31,18
皇家马德里,Real Madrid,30,18
皇家贝蒂斯,Real Betis,26,18
赫塔菲,Getafe,25,18
西班牙人,RCD Espanyol,24,18
赫罗纳,Girona,23,18
莱万特,Levante,23,18
皇家社会,Real Sociedad,22,18
巴伦西亚,Valencia?,22,18
埃瓦尔,Eibar,22,18
塞尔塔,Celta Vigo,21,18
瓦拉多利德,Real Valladolid,21,18
莱加内斯,Leganes,19,18
毕尔巴鄂竞技,Athletic Bilbao,19,18
比利亚雷亚尔,Villarreal,17,18
巴列卡诺,Rayo Vallecano,16,18
韦斯卡,SD Huesca,11,18
巴塞罗那,FC Barcelona,43,19
马德里竞技,Atletico Madrid,38,19
塞维利亚,Sevilla,33,19
皇家马德里,Real Madrid,33,19
阿拉维斯,Alves Sales,32,19
赫塔菲,Getafe,28,19
皇家贝蒂斯,Real Betis,26,19
皇家社会,Real Sociedad,25,19
赫罗纳,Girona,24,19
西班牙人,RCD Espanyol,24,19
巴伦西亚,Valencia?,23,19
莱万特,Levante,23,19
莱加内斯,Leganes,22,19
瓦拉多利德,Real Valladolid,22,19
毕尔巴鄂竞技,Athletic Bilbao,22,19
埃瓦尔,Eibar,22,19
塞尔塔,Celta Vigo,21,19
巴列卡诺,Rayo Vallecano,19,19
比利亚雷亚尔,Villarreal,17,19
韦斯卡,SD Huesca,11,19
巴塞罗那,FC Barcelona,46,20
马德里竞技,Atletico Madrid,41,20
皇家马德里,Real Madrid,36,20
塞维利亚,Sevilla,33,20
阿拉维斯,Alves Sales,32,20
赫塔菲,Getafe,31,20
皇家贝蒂斯,Real Betis,29,20
